sepal_length,sepal_width,petal_length,petal_width,species
7.43,3.89,5.75,2.0,virginica
6.41,2.82,5.71,2.31,virginica
5.29,3.03,1.64,0.28,setosa
5.66,2.4,3.98,1.05,versicolor
5.87,3.43,5.22,1.14,versicolor
6.29,3.1,5.08,2.08,virginica
6.06,3.07,5.63,1.96,virginica
5.81,2.61,4.64,1.29,versicolor
7.2,3.28,5.44,1.94,virginica
6.55,3.39,5.96,2.29,virginica
6.39,2.98,6.01,1.76,virginica
6.47,2.78,5.68,1.79,virginica
5.01,3.52,1.03,0.81,setosa
5.8,4.02,2.08,0.42,setosa
7.31,2.82,5.33,1.65,virginica
5.94,2.44,3.7,1.31,versicolor
6.22,2.23,4.03,1.15,versicolor
6.33,3.31,6.3,2.41,virginica
5.09,3.59,1.19,0.25,setosa
5.41,2.84,1.12,0.25,setosa
6.16,2.49,4.71,1.1,versicolor
6.43,3.22,5.51,1.74,virginica
5.27,3.5,1.53,0.42,setosa
6.74,3.23,5.4,2.26,virginica
6.9,3.22,5.81,1.73,virginica
6.15,2.08,4.82,1.31,versicolor
5.54,2.94,4.27,1.01,versicolor
6.01,3.36,4.18,1.33,versicolor
6.23,2.16,4.81,1.17,versicolor
4.16,3.31,1.78,0.38,setosa
6.27,2.57,4.35,1.1,versicolor
3.83,3.55,2.39,0.4,setosa
4.69,3.66,1.03,0.26,setosa
4.85,3.19,1.32,0.2,setosa
6.09,2.29,4.22,1.43,versicolor
5.67,2.41,4.22,1.19,versicolor
6.62,2.78,5.43,2.02,virginica
6.79,2.48,5.73,2.2,virginica
5.16,3.13,4.68,1.06,versicolor
6.91,2.44,5.24,2.21,virginica
6.68,3.03,4.83,2.01,virginica
5.91,3.46,4.68,1.48,versicolor
5.74,3.27,4.84,1.22,versicolor
4.57,2.95,1.09,0.45,setosa
6.39,2.79,3.87,0.87,versicolor
5.73,2.87,4.39,0.92,versicolor
6.39,3.76,3.98,1.53,versicolor
4.52,2.98,1.62,0.23,setosa
5.11,3.29,1.96,0.33,setosa
5.24,3.86,1.55,0.29,setosa
6.94,3.57,5.47,1.85,virginica
4.35,3.21,1.31,0.5,setosa
5.67,2.85,4.03,0.98,versicolor
5.52,3.46,2.29,0.2,setosa
6.55,2.67,5.98,1.81,virginica
5.01,3.2,1.27,0.33,setosa
4.74,3.71,0.31,0.16,setosa
7.0,2.77,5.63,1.95,virginica
6.83,2.4,5.58,2.18,virginica
5.02,2.59,4.17,1.38,versicolor
5.06,2.68,1.72,0.36,setosa
6.32,2.86,4.25,1.21,versicolor
5.57,3.48,1.8,0.33,setosa
5.17,3.3,1.66,0.36,setosa
4.55,3.36,1.97,0.15,setosa
5.09,3.29,2.02,0.13,setosa
4.65,2.94,0.86,-0.01,setosa
6.2,3.09,3.41,1.17,versicolor
5.84,2.56,4.03,1.3,versicolor
5.51,2.99,3.88,1.28,versicolor
5.72,2.36,1.75,0.59,setosa
5.68,2.92,4.59,1.45,versicolor
6.0,3.2,4.79,1.26,versicolor
6.17,2.95,4.24,1.36,versicolor
6.53,3.31,6.06,1.74,virginica
6.57,2.46,4.79,1.95,virginica
6.77,3.48,5.46,1.99,virginica
6.75,2.84,6.0,1.73,virginica
5.64,3.71,0.98,0.18,setosa
5.36,3.96,1.67,0.36,setosa
6.41,3.13,5.34,2.09,virginica
7.02,2.42,5.46,1.98,virginica
5.89,2.8,4.83,1.51,versicolor
6.45,3.07,4.01,1.22,versicolor
4.38,3.66,1.41,0.26,setosa
6.66,3.36,4.83,2.17,virginica
5.79,2.78,3.79,1.24,versicolor
4.68,3.59,1.35,0.29,setosa
6.99,2.54,5.34,1.84,virginica
7.39,2.59,6.56,1.89,virginica
7.11,2.46,5.27,1.8,virginica
7.41,3.35,4.67,1.85,virginica
6.14,3.44,5.59,2.19,virginica
6.26,3.25,5.26,2.23,virginica
6.61,3.37,4.45,1.29,versicolor
6.99,2.74,6.14,2.1,virginica
4.23,2.61,1.54,0.28,setosa
5.85,3.05,5.0,1.23,versicolor
5.83,2.21,4.55,1.04,versicolor
5.91,2.97,5.46,1.74,virginica
6.06,2.88,3.89,1.25,versicolor
6.7,3.22,5.41,2.09,virginica
6.11,2.72,4.66,2.19,virginica
5.6,2.42,4.04,1.24,versicolor
5.25,2.7,4.42,1.62,versicolor
5.94,2.77,4.01,1.32,versicolor
4.7,3.75,0.71,0.21,setosa
5.66,2.72,4.47,1.3,versicolor
6.12,2.79,4.68,1.71,versicolor
6.21,2.41,3.91,1.3,versicolor
4.52,2.89,1.62,-0.19,setosa
4.31,3.56,1.74,0.25,setosa
5.86,3.26,4.49,1.15,versicolor
6.27,2.87,5.67,2.1,virginica
6.46,3.22,5.92,1.72,virginica
4.54,3.21,1.45,0.43,setosa
6.93,3.18,5.39,1.91,virginica
5.41,3.39,1.45,0.22,setosa
6.4,2.53,5.99,2.05,virginica
5.23,3.14,4.22,1.55,versicolor
4.13,3.73,1.97,0.36,setosa
6.42,3.19,5.29,1.96,virginica
5.19,2.84,1.61,0.37,setosa
6.7,2.23,7.01,1.88,virginica
4.27,2.81,1.53,0.4,setosa
6.21,2.65,4.67,1.78,versicolor
4.77,3.0,0.57,0.11,setosa
6.3,3.31,4.74,1.24,versicolor
5.75,3.3,4.82,1.5,versicolor
4.97,2.99,3.76,1.41,versicolor
5.49,3.44,1.1,0.43,setosa
4.18,3.56,1.15,0.49,setosa
5.59,3.08,1.66,0.49,setosa
5.29,2.4,3.72,1.36,versicolor
4.29,3.11,1.84,0.36,setosa
7.1,3.45,5.06,2.04,virginica
6.91,3.64,5.42,1.97,virginica
5.55,2.41,3.97,1.47,versicolor
4.54,3.63,1.35,-0.14,setosa
4.57,4.11,1.03,0.36,setosa
6.12,2.38,4.17,1.07,versicolor
6.45,3.42,5.48,1.99,virginica
6.23,3.47,5.81,2.26,virginica
6.3,2.92,5.53,1.22,versicolor
5.09,3.13,1.87,0.12,setosa
6.1,3.25,5.12,1.69,virginica
5.72,2.8,3.39,1.62,versicolor
5.77,2.77,4.59,1.29,versicolor
5.95,2.63,4.3,1.31,versicolor
6.39,3.35,5.27,2.07,virginica
5.07,3.11,1.74,0.4,setosa
5.9,2.64,3.57,1.58,versicolor
6.71,2.8,5.05,2.28,virginica
4.69,2.82,1.9,0.61,setosa
5.94,2.67,4.31,0.95,versicolor
7.33,3.19,5.89,1.95,virginica
6.13,2.88,4.22,1.17,versicolor
6.31,3.19,3.65,1.48,versicolor
4.81,3.16,1.81,0.54,setosa
5.73,3.13,4.98,1.69,versicolor
5.91,2.74,5.62,1.48,versicolor
4.78,3.08,0.96,0.55,setosa
5.42,2.96,1.1,0.3,setosa
5.35,3.49,2.85,0.54,setosa
5.75,3.0,5.26,1.27,versicolor
6.56,2.71,5.84,2.05,virginica
5.4,2.13,3.95,1.2,versicolor
7.25,3.13,5.66,1.75,virginica
4.9,3.09,1.92,0.76,setosa
7.59,3.28,5.71,1.87,virginica
6.23,3.04,5.04,1.63,versicolor
5.81,3.08,3.53,1.51,versicolor
5.21,2.96,4.69,1.46,versicolor
6.52,3.39,3.43,1.09,versicolor
6.97,3.1,5.2,1.97,virginica
4.65,2.68,1.47,0.17,setosa
4.75,3.45,1.35,0.53,setosa
4.28,3.71,1.19,0.07,setosa
4.73,3.15,1.05,0.52,setosa
6.81,2.84,5.46,1.84,virginica
5.19,3.23,1.61,-0.07,setosa
6.66,2.61,5.48,2.15,virginica
6.77,2.16,5.86,2.04,virginica
4.57,2.87,1.67,-0.18,setosa
7.54,2.98,5.35,2.02,virginica
4.65,2.86,1.49,0.33,setosa
5.6,2.88,4.36,1.4,versicolor
4.74,3.22,1.47,0.2,setosa
7.03,3.43,5.65,2.04,virginica
7.11,3.1,5.6,1.82,virginica
5.09,3.34,4.58,1.46,versicolor
6.15,2.04,4.34,1.58,versicolor
6.19,3.46,5.8,1.85,virginica
6.81,2.92,5.69,2.22,virginica
5.85,3.46,4.58,1.62,versicolor
6.43,3.17,5.18,1.67,versicolor
6.03,3.41,4.18,1.05,versicolor
5.75,2.73,5.09,1.21,versicolor
6.67,2.87,5.54,2.16,virginica
6.58,2.52,4.12,1.29,versicolor
6.7,3.06,5.58,2.28,virginica
6.88,2.93,6.13,2.07,virginica
6.65,3.27,5.67,1.72,virginica
7.07,3.02,5.57,2.1,virginica
5.68,2.98,5.55,1.76,versicolor
5.37,3.13,3.49,1.68,versicolor
5.79,3.06,4.94,1.16,versicolor
5.27,3.5,0.96,0.21,setosa
5.98,3.39,4.07,1.36,versicolor
5.69,2.58,4.5,1.19,versicolor
5.78,2.52,5.99,2.19,virginica
5.22,2.54,4.72,1.29,versicolor
3.78,3.33,1.51,0.6,setosa
5.41,3.4,1.82,0.31,setosa
4.21,3.14,1.75,0.14,setosa
6.44,2.77,6.15,1.92,virginica
4.44,3.65,1.13,0.35,setosa
5.41,3.77,1.86,0.6,setosa
5.59,2.53,3.95,1.69,versicolor
4.48,3.44,1.14,0.53,setosa
5.18,2.99,3.78,1.18,versicolor
6.6,2.63,5.91,2.08,virginica
5.43,2.91,1.41,0.42,setosa
7.17,2.83,5.14,2.12,virginica
6.15,3.4,5.86,2.41,virginica
5.57,3.66,2.15,0.57,setosa
6.14,2.86,4.25,2.33,virginica
6.66,2.7,4.3,1.32,versicolor
6.0,2.04,4.78,1.45,versicolor
5.26,4.08,1.53,0.48,setosa
6.61,2.3,5.74,2.12,virginica
4.82,3.44,1.39,0.6,setosa
6.34,2.46,5.47,2.21,virginica
5.96,2.52,3.8,1.35,versicolor
6.74,2.47,3.85,1.04,versicolor
6.27,2.86,5.06,2.02,virginica
6.77,3.38,6.57,1.72,virginica
4.85,3.44,1.75,0.12,setosa
6.35,2.65,5.52,2.27,virginica
6.51,2.8,5.63,2.36,virginica
6.71,3.15,5.47,2.0,virginica
6.09,2.47,3.81,0.8,versicolor
5.12,4.04,1.8,0.4,setosa
6.91,2.26,5.31,1.68,virginica
5.26,2.89,1.24,0.47,setosa
5.8,2.98,4.29,1.3,versicolor
6.23,3.22,4.67,1.46,versicolor
7.67,3.19,5.72,1.67,virginica
5.72,2.91,4.07,1.32,versicolor
6.63,3.35,3.67,1.38,versicolor
4.85,3.63,1.13,0.75,setosa
5.16,3.88,1.84,0.56,setosa
6.42,3.17,5.43,2.03,virginica
6.78,2.74,4.64,1.35,versicolor
5.99,2.66,4.09,1.36,versicolor
5.02,3.18,2.67,0.3,setosa
6.3,3.02,5.99,2.11,virginica
5.16,3.71,4.39,0.93,versicolor
5.55,2.1,4.58,1.34,versicolor
5.74,3.36,4.1,1.02,versicolor
6.15,3.13,5.9,1.87,virginica
5.07,3.27,4.42,0.99,versicolor
6.82,2.85,5.11,1.99,virginica
6.57,3.44,5.2,1.76,virginica
6.47,2.69,4.69,1.16,versicolor
6.75,2.63,6.17,2.28,virginica
4.77,3.48,1.78,0.19,setosa
4.49,3.48,2.11,-0.09,setosa
6.53,2.82,4.65,1.43,versicolor
6.26,3.4,5.66,2.13,virginica
5.17,2.96,1.28,0.61,setosa
6.69,2.57,6.54,2.26,virginica
5.18,3.6,1.51,0.16,setosa
7.1,2.43,5.43,1.76,virginica
5.54,2.58,4.09,1.16,versicolor
4.84,3.55,0.96,0.46,setosa
6.32,2.82,5.99,1.99,virginica
5.3,3.47,1.55,0.55,setosa
6.21,2.03,4.22,1.13,versicolor
5.57,3.2,1.62,-0.01,setosa
4.75,3.79,1.51,0.52,setosa
6.36,3.29,3.84,1.28,versicolor
6.33,3.41,5.09,2.11,virginica
6.75,3.25,5.44,2.5,virginica
5.22,3.51,2.15,0.23,setosa
