lot_area,year_built,gr_liv_area,bedrooms,bathrooms,garage_cars,neighborhood,sale_type,sale_price
15163,2017,1264,3,1.5,2.0,NWAmes,WD,200800
14179,1944,1444,6,1.5,,Gilbert,WD,198600
13516,2003,1064,2,1.0,2.0,OldTown,WD,171600
11778,1976,2068,4,3.0,2.0,CollgCr,WD,199800
8809,1979,1657,6,2.0,2.0,Somerst,WD,196400
25789,1943,1217,1,2.5,2.0,BrkSide,WD,173700
6289,2003,1454,1,1.5,0.0,CollgCr,WD,113500
9918,1992,1704,6,1.0,1.0,BrkSide,WD,205800
9971,2001,1400,2,1.0,2.0,NWAmes,New,163200
12103,1999,1286,7,2.0,,BrkSide,WD,144500
7985,1919,1238,7,1.5,0.0,Sawyer,New,109500
11584,2008,1636,7,2.5,1.0,Somerst,New,183600
9096,2004,1357,7,2.5,2.0,NWAmes,WD,150400
4487,1930,1318,6,1.5,1.0,Sawyer,WD,130600
9945,2021,966,3,2.0,2.0,OldTown,WD,166700
5709,1965,1531,7,1.5,2.0,Gilbert,WD,174900
4158,1939,1428,3,2.5,2.0,NWAmes,WD,164700
10598,1927,1371,5,2.5,1.0,OldTown,WD,131800
12631,1945,1580,1,2.5,2.0,BrkSide,WD,181100
12879,1904,1799,7,,1.0,CollgCr,WD,176100
13142,1985,1781,5,1.5,3.0,BrkSide,WD,222200
3766,1987,1721,7,3.0,2.0,CollgCr,New,196100
5012,1982,1404,3,1.5,0.0,NWAmes,WD,163400
26549,1968,1273,3,1.0,2.0,Somerst,New,174600
5863,1944,1082,4,1.0,2.0,BrkSide,WD,193000
13432,1989,1263,7,1.0,2.0,BrkSide,WD,187300
7020,2008,1508,4,2.5,2.0,Sawyer,WD,180400
10299,1910,1185,6,1.0,2.0,Sawyer,WD,116700
7211,1947,1538,2,2.0,2.0,Sawyer,WD,160300
13105,2023,1114,6,1.5,3.0,Somerst,WD,170300
10598,2006,836,6,1.0,1.0,BrkSide,WD,142800
7910,2023,1828,7,3.0,2.0,NWAmes,COD,190200
5854,1922,1310,1,2.5,2.0,Somerst,WD,169300
11315,1957,1165,3,3.0,2.0,CollgCr,WD,120200
5397,1916,1062,1,3.0,2.0,Gilbert,New,97400
12256,2007,1669,3,3.0,1.0,CollgCr,WD,176000
36800,1964,2050,6,2.5,2.0,Gilbert,New,181900
19440,1930,1339,5,2.0,1.0,OldTown,WD,112300
14174,1911,1414,6,2.5,1.0,Gilbert,WD,123100
9482,1991,1929,6,2.0,2.0,Gilbert,WD,185000
3754,2000,776,7,1.0,1.0,NWAmes,WD,127700
5109,2009,2287,7,1.5,,Gilbert,WD,188900
18796,2020,2478,5,2.0,0.0,BrkSide,New,204300
6668,2001,417,7,1.0,2.0,Sawyer,WD,119900
6977,1997,1461,1,3.0,3.0,NWAmes,COD,208500
9110,2000,1212,6,3.0,2.0,BrkSide,WD,192900
5820,2023,1394,4,2.0,1.0,BrkSide,WD,171300
5359,1957,1333,7,2.0,2.0,CollgCr,New,161700
9650,1994,1825,4,,1.0,Somerst,New,179700
6337,2001,1455,2,2.0,3.0,Sawyer,WD,198700
6833,1914,1136,6,2.5,2.0,NWAmes,WD,141300
6697,1985,1431,7,2.0,1.0,OldTown,WD,185500
12851,1942,1706,1,1.5,2.0,NWAmes,WD,135500
8813,1916,1027,1,2.5,1.0,Somerst,New,111400
9052,1921,842,5,1.0,2.0,Sawyer,WD,126200
13339,1914,2297,4,1.5,1.0,NWAmes,WD,184800
9219,2011,1243,4,2.5,3.0,OldTown,WD,161700
8612,1995,1445,1,2.5,2.0,OldTown,WD,148800
12522,1912,1341,5,3.0,3.0,Somerst,WD,172300
13823,1977,1719,4,2.5,3.0,CollgCr,WD,181300
9195,1981,2209,6,1.0,1.0,BrkSide,WD,165500
10304,1964,1732,3,3.0,2.0,CollgCr,ConLD,198400
6695,1975,893,3,2.0,2.0,Gilbert,New,147600
6436,2012,946,1,1.0,1.0,OldTown,WD,138100
14539,1964,1340,4,2.0,0.0,NWAmes,WD,117400
12363,1981,1393,5,1.0,1.0,BrkSide,COD,153400
12427,1970,811,2,2.0,1.0,Gilbert,New,144700
11389,1949,1828,6,2.0,,Somerst,New,161700
10128,2010,1065,7,1.0,2.0,Sawyer,WD,127100
14020,1951,2097,2,3.0,2.0,NWAmes,WD,184900
15797,1999,2228,5,2.0,3.0,CollgCr,New,230500
15609,1975,1401,5,3.0,1.0,BrkSide,WD,144400
9411,1984,1676,1,2.0,2.0,BrkSide,WD,197000
19801,1994,1007,2,2.0,0.0,NWAmes,WD,148200
11095,1991,1749,3,3.0,1.0,OldTown,WD,183900
13578,1969,1301,1,1.5,1.0,Somerst,WD,158300
11396,1976,1065,3,3.0,1.0,NWAmes,WD,141600
11198,1963,1384,2,1.0,2.0,BrkSide,WD,162000
6851,1942,1314,7,3.0,2.0,Sawyer,WD,125800
14054,1990,1370,5,2.5,1.0,CollgCr,WD,136600
41054,2008,1880,3,2.0,0.0,NWAmes,COD,151600
8206,1987,1186,6,1.5,2.0,CollgCr,WD,155200
10255,1995,2194,1,2.0,0.0,NWAmes,WD,196600
7918,2002,970,5,2.0,2.0,NWAmes,WD,121800
7754,1945,2146,5,3.0,3.0,NWAmes,WD,211800
21423,1907,1093,6,3.0,2.0,Somerst,WD,111500
7069,1941,1500,2,2.0,2.0,NWAmes,WD,140200
7808,1993,1304,5,1.5,2.0,Sawyer,New,153900
4475,2001,1363,6,1.5,2.0,NWAmes,WD,149700
6776,1963,1821,6,1.5,3.0,OldTown,ConLD,210000
4212,1996,2100,2,1.0,3.0,Sawyer,WD,219700
13574,1909,1976,7,1.0,2.0,Gilbert,WD,194500
40129,1979,1338,2,2.5,2.0,Gilbert,WD,155200
8239,1984,1574,3,1.5,2.0,Gilbert,WD,170500
4301,1962,1187,2,2.0,0.0,CollgCr,COD,164200
15522,1988,1103,2,2.5,2.0,BrkSide,New,121400
6881,1960,1041,2,2.5,2.0,BrkSide,WD,167700
18952,1964,1325,1,1.5,2.0,CollgCr,WD,192000
8595,1974,1600,6,2.5,1.0,CollgCr,ConLD,180300
7216,1998,735,5,1.0,1.0,CollgCr,WD,118000
9055,1930,1481,3,2.0,1.0,BrkSide,WD,173800
14456,1937,2106,4,1.0,2.0,BrkSide,WD,187300
8833,1951,1949,5,2.0,3.0,CollgCr,WD,187200
7721,1925,1266,2,1.0,3.0,Gilbert,WD,148200
8961,1941,941,3,3.0,,CollgCr,WD,107500
5240,1943,1684,7,,1.0,OldTown,New,141400
12070,1938,573,1,1.5,2.0,CollgCr,WD,131900
4051,1950,1944,7,2.5,2.0,OldTown,WD,173300
7926,1962,1415,7,1.5,2.0,Sawyer,WD,162600
14468,1986,2233,2,2.0,1.0,Sawyer,New,174500
11516,1937,809,3,1.0,1.0,CollgCr,WD,111000
13295,2004,1867,2,2.0,2.0,NWAmes,New,177600
9580,1959,1460,4,1.0,2.0,CollgCr,WD,141200
17763,1989,1368,2,1.0,1.0,NWAmes,WD,154600
15715,1914,952,6,2.0,3.0,BrkSide,New,156500
12371,1921,1738,3,2.0,2.0,BrkSide,New,177500
15737,1956,1770,7,1.5,3.0,Sawyer,WD,203100
14403,1945,2214,6,1.0,2.0,CollgCr,WD,199500
7945,1961,1903,3,2.0,2.0,CollgCr,WD,183100
5055,1919,1262,5,3.0,3.0,CollgCr,WD,169700
12212,1958,1098,1,2.5,3.0,OldTown,New,145300
13004,1985,953,1,1.0,3.0,Gilbert,New,173400
17073,1990,2089,4,3.0,2.0,Gilbert,WD,233400
6197,1930,1189,4,2.0,2.0,BrkSide,COD,124400
6290,1942,2092,3,2.0,1.0,OldTown,WD,168600
12456,1965,1710,1,1.0,1.0,CollgCr,COD,157400
9551,1964,1632,6,1.5,3.0,Sawyer,New,158400
3855,1998,1377,3,2.5,1.0,Gilbert,COD,150500
11939,1948,1764,4,1.5,2.0,Somerst,New,204200
3920,1983,1494,3,1.0,3.0,CollgCr,ConLD,165000
6169,2009,1352,4,1.0,3.0,NWAmes,WD,212400
19455,1936,1778,5,3.0,3.0,CollgCr,WD,178700
24648,2002,1442,6,3.0,2.0,NWAmes,WD,219000
5389,1941,1181,4,1.0,2.0,BrkSide,New,130400
8394,1941,1740,2,3.0,3.0,CollgCr,WD,183900
10110,1981,1474,7,3.0,1.0,OldTown,COD,142000
24116,1977,1696,2,1.5,1.0,Sawyer,WD,157400
7735,1968,1318,1,2.5,3.0,OldTown,New,198500
7797,1928,1016,1,1.5,2.0,BrkSide,WD,140600
21469,1911,2194,6,1.5,2.0,Sawyer,New,211300
8206,2012,2119,3,2.5,1.0,Somerst,COD,178600
14201,2008,1854,1,1.5,2.0,Somerst,WD,214300
4729,2009,1345,6,1.5,3.0,Somerst,WD,166000
9085,1963,1380,3,1.5,2.0,Somerst,WD,134900
4317,2009,2053,7,1.0,,Sawyer,New,217200
5839,1958,1358,7,3.0,2.0,Sawyer,New,163500
15057,1909,1247,1,2.5,3.0,CollgCr,WD,151200
9653,1924,2249,5,3.0,3.0,CollgCr,WD,224000
8438,1933,1481,5,2.0,2.0,NWAmes,WD,175600
6806,1946,2207,2,1.0,2.0,Gilbert,WD,231400
8863,2016,941,3,1.5,1.0,Sawyer,New,117500
11505,1941,1707,4,1.5,2.0,Somerst,WD,203000
16179,1975,2328,2,,1.0,NWAmes,COD,243000
2664,1933,1512,6,1.5,2.0,OldTown,ConLD,152500
6530,1979,1394,2,2.5,2.0,NWAmes,COD,133800
10717,1970,1033,7,1.0,1.0,Gilbert,WD,104900
9420,1918,1933,6,3.0,1.0,Somerst,WD,157300
12109,1957,1192,5,2.5,1.0,Somerst,New,177700
11314,1913,1462,1,2.0,1.0,NWAmes,WD,139500
8498,2010,1006,1,1.5,2.0,BrkSide,ConLD,142800
7605,1987,2123,2,1.5,1.0,Gilbert,WD,184000
8754,2016,1962,4,1.5,1.0,BrkSide,WD,171100
17577,2008,1487,6,2.0,3.0,OldTown,ConLD,210500
6864,1927,1038,2,3.0,1.0,Sawyer,New,118100
9591,1987,2114,5,1.5,3.0,OldTown,WD,263200
10847,1912,1354,1,2.5,2.0,Somerst,WD,157400
21594,2019,1058,2,2.0,2.0,Somerst,WD,177300
8517,1997,795,5,2.5,2.0,CollgCr,WD,134800
15985,1984,1242,6,2.5,1.0,BrkSide,WD,126500
18324,2023,918,6,1.0,2.0,BrkSide,WD,136700
9587,2005,1251,4,1.0,2.0,NWAmes,WD,139700
8907,2007,1798,1,3.0,1.0,NWAmes,WD,204000
8396,1912,1350,3,1.0,2.0,Sawyer,WD,137000
8709,1902,1642,6,2.0,2.0,Gilbert,WD,176800
15171,2019,1211,1,2.5,3.0,NWAmes,WD,183800
11109,1931,1526,5,2.0,2.0,Sawyer,WD,154200
11133,1952,2268,5,1.0,0.0,CollgCr,WD,159700
5639,1905,1361,6,1.0,3.0,CollgCr,WD,161200
6101,1977,1654,2,2.5,3.0,OldTown,WD,188500
28904,2001,874,2,3.0,2.0,OldTown,WD,163200
9055,2004,2108,2,1.5,1.0,CollgCr,New,187600
6718,1972,1309,3,2.0,2.0,Gilbert,New,172700
20243,1982,1920,4,3.0,2.0,Sawyer,ConLD,229800
11395,1963,1451,1,3.0,1.0,Gilbert,COD,159000
13215,1955,1745,4,2.0,3.0,NWAmes,WD,207000
9237,1968,1768,2,2.5,2.0,CollgCr,New,195900
8439,2016,1319,4,3.0,3.0,OldTown,WD,224100
9093,1931,1937,3,2.5,2.0,Gilbert,New,190100
4957,1958,1196,7,2.0,1.0,OldTown,COD,152000
9471,1974,1811,3,2.5,3.0,Sawyer,New,199900
11476,1970,1344,7,1.5,2.0,Somerst,WD,146200
24965,1903,1640,2,3.0,2.0,Somerst,WD,133700
10332,1935,1315,1,1.0,2.0,OldTown,WD,175000
3081,1980,1520,2,1.5,1.0,CollgCr,WD,142200
9443,1986,1070,3,1.5,2.0,OldTown,New,166400
38939,1991,1599,7,1.5,2.0,Sawyer,WD,190400
15263,2022,1518,2,2.0,3.0,NWAmes,WD,217200
6598,1983,1284,6,2.5,3.0,Sawyer,WD,164000
13300,1971,1478,5,3.0,2.0,NWAmes,WD,153600
6829,1941,1554,3,2.0,1.0,BrkSide,WD,160100
5030,1945,1253,3,2.5,2.0,Sawyer,WD,143400
8315,2002,1448,7,2.0,0.0,CollgCr,WD,128400
10361,1958,1098,6,1.0,2.0,OldTown,WD,183400
3881,1988,2438,2,2.5,2.0,BrkSide,WD,211500
5572,1915,1924,7,1.0,3.0,CollgCr,New,169200
9948,1915,1609,3,2.0,1.0,Sawyer,WD,143000
8070,1926,1969,1,3.0,1.0,Gilbert,WD,196000
12057,1924,708,6,2.5,3.0,Gilbert,WD,81600
5392,1975,477,7,2.0,2.0,CollgCr,WD,138900
14144,1979,1340,4,1.5,3.0,Somerst,WD,158000
5476,1969,949,5,3.0,3.0,NWAmes,WD,157000
22502,1935,1405,2,3.0,2.0,OldTown,COD,141100
4197,1971,1582,6,1.5,2.0,Somerst,WD,214900
5731,1914,1868,3,1.0,2.0,NWAmes,New,176200
12194,1958,1045,2,2.0,2.0,CollgCr,WD,127500
22745,1919,1660,4,,3.0,Somerst,WD,169800
11586,1909,1506,2,3.0,1.0,BrkSide,New,142100
13114,1920,1639,5,3.0,2.0,Somerst,WD,166500
9984,1913,1292,6,1.5,1.0,BrkSide,New,138500
5924,1959,2053,3,1.5,2.0,BrkSide,New,197400
7746,1967,1459,6,3.0,2.0,Gilbert,WD,139600
5399,1975,2210,4,1.5,3.0,CollgCr,ConLD,216000
5222,1954,1184,7,2.0,2.0,CollgCr,COD,160300
12099,1921,1797,2,1.5,1.0,BrkSide,WD,146500
5644,1902,1476,5,1.5,1.0,OldTown,WD,150000
11612,1988,1369,4,2.0,1.0,NWAmes,WD,157100
5162,2021,1753,7,1.5,1.0,Gilbert,New,183200
11478,1934,1380,2,2.0,3.0,Sawyer,COD,188800
7752,1925,435,2,1.5,2.0,BrkSide,New,63500
19996,1938,400,7,1.0,1.0,CollgCr,WD,74700
11636,1926,2009,7,2.5,2.0,NWAmes,WD,209700
18359,1927,1992,6,3.0,1.0,Gilbert,WD,209100
6783,1961,2255,4,2.0,1.0,BrkSide,WD,242800
10179,1997,1493,3,1.5,3.0,NWAmes,WD,191000
6060,1988,983,5,2.5,0.0,OldTown,WD,132400
8048,2019,1332,6,2.0,,BrkSide,WD,192100
8681,1944,1505,2,2.0,2.0,NWAmes,WD,188300
6885,1961,1097,1,2.0,1.0,CollgCr,New,139700
5390,1947,2159,1,2.5,1.0,CollgCr,WD,206200
4882,1905,2396,3,1.0,1.0,CollgCr,WD,197300
3072,1948,1691,5,1.0,1.0,Sawyer,WD,172600
5836,1932,1496,4,1.0,3.0,BrkSide,COD,152300
13545,1959,982,5,1.0,2.0,NWAmes,New,131900
4450,1919,2119,4,3.0,2.0,OldTown,WD,178600
4994,1991,1531,2,2.5,1.0,BrkSide,WD,142500
24232,2004,1384,6,2.5,3.0,Gilbert,WD,153100
7199,2019,1692,6,2.5,1.0,NWAmes,WD,175100
11620,1910,1266,7,1.0,3.0,OldTown,WD,146200
13645,1914,1559,6,1.5,1.0,BrkSide,WD,146800
13784,2019,923,3,2.5,3.0,OldTown,WD,176400
4623,2005,1935,5,2.0,1.0,Gilbert,WD,196500
8817,1972,1458,3,2.0,0.0,Gilbert,WD,139500
4407,1939,1964,7,2.5,2.0,NWAmes,WD,168200
33629,1964,1420,5,1.0,1.0,NWAmes,WD,169600
4458,1966,1446,6,2.5,2.0,Somerst,WD,164100
5861,2005,1015,2,2.5,2.0,Gilbert,WD,145400
5882,1965,1804,1,2.0,2.0,Somerst,WD,181800
4683,1903,1150,1,2.0,1.0,NWAmes,WD,104300
19464,1986,1305,4,1.0,2.0,Gilbert,WD,153800
33231,1996,1500,7,1.5,1.0,Sawyer,WD,154900
7802,1936,1548,5,1.5,3.0,CollgCr,WD,169000
5114,1914,818,6,3.0,2.0,BrkSide,WD,129100
3234,1917,1408,4,1.0,2.0,OldTown,WD,157500
8760,2004,1818,7,1.5,3.0,CollgCr,WD,240900
8449,1955,1349,7,1.0,2.0,Somerst,WD,181700
7146,1965,1410,2,1.5,2.0,Somerst,WD,203000
11056,2019,1565,7,1.0,1.0,Somerst,WD,187800
12059,1907,1450,1,1.5,2.0,Somerst,COD,159500
11632,1925,1088,5,2.5,1.0,NWAmes,WD,112400
8450,2003,1485,4,2.5,0.0,Sawyer,WD,171900
5706,1966,1898,3,1.5,2.0,Sawyer,WD,177900
13807,1903,1080,7,2.5,0.0,Somerst,New,73700
9959,1987,1350,5,2.5,2.0,CollgCr,WD,197700
15432,1917,947,1,3.0,1.0,Gilbert,COD,87000
14692,1996,1877,1,3.0,2.0,OldTown,WD,207600
4862,1998,1463,1,1.5,3.0,NWAmes,WD,171100
4831,2002,1160,3,2.0,0.0,CollgCr,WD,159700
6783,1957,1537,1,2.5,2.0,Gilbert,COD,193700
5836,1933,1019,2,1.5,2.0,OldTown,ConLD,143300
14438,2009,1087,6,2.0,3.0,Sawyer,New,196200
11798,1969,916,7,2.0,1.0,CollgCr,WD,126000
17147,1978,1073,6,1.5,2.0,NWAmes,New,193900
12067,1916,2043,4,,2.0,Gilbert,WD,198900
10985,1977,1207,5,1.0,2.0,NWAmes,WD,138300
18031,1971,1686,7,2.5,1.0,NWAmes,WD,170200
12517,1936,1165,1,3.0,1.0,CollgCr,COD,126600
10240,1995,1804,7,2.5,2.0,Sawyer,WD,189500
20748,1916,1090,6,1.5,1.0,NWAmes,WD,86400
10484,1989,1516,3,1.0,2.0,CollgCr,WD,184600
8500,2019,1521,4,2.5,2.0,CollgCr,WD,158400
6510,1970,2431,4,1.0,2.0,NWAmes,WD,171000
14066,1912,1752,2,2.0,1.0,Sawyer,New,147900
18371,1968,1263,2,3.0,1.0,BrkSide,WD,129500
9650,1965,1774,3,1.0,2.0,Somerst,WD,166600
19034,1968,2355,1,2.0,2.0,Somerst,WD,154700
3696,1933,848,4,3.0,3.0,OldTown,WD,118300
9626,1977,1163,4,1.5,2.0,NWAmes,WD,150400
9701,1932,1405,3,3.0,2.0,CollgCr,WD,141000
6881,1969,1333,2,3.0,0.0,Sawyer,WD,144600
32596,1973,1367,7,2.0,3.0,NWAmes,WD,203700
9575,1980,978,5,1.5,1.0,CollgCr,COD,142900
8072,1998,2062,4,2.5,1.0,BrkSide,WD,218100
10026,2009,931,6,2.5,1.0,Sawyer,WD,160900
3636,1996,1420,3,2.0,0.0,Somerst,COD,129300
6769,1998,1918,2,1.0,2.0,OldTown,WD,210500
16181,2007,1488,5,2.5,1.0,CollgCr,New,188600
7227,1930,1108,6,1.5,1.0,Somerst,COD,116000
6539,1936,961,5,1.0,1.0,Somerst,New,102600
19049,1966,1408,4,1.0,3.0,Sawyer,WD,186600
19344,1957,1197,1,2.0,2.0,BrkSide,WD,120100
12817,1987,1582,5,1.0,3.0,Sawyer,WD,170100
7883,1901,939,5,1.5,3.0,Sawyer,WD,117400
8780,1917,1825,3,1.5,3.0,OldTown,ConLD,193300
6620,1992,1546,2,2.0,2.0,CollgCr,WD,183800
6019,2001,1576,7,2.5,1.0,BrkSide,New,192400
5871,1937,2076,3,2.0,1.0,Gilbert,WD,161600
7266,1938,1325,2,2.0,1.0,CollgCr,WD,119600
5900,1969,1210,5,1.0,2.0,Sawyer,WD,164500
4529,1959,1281,4,1.0,0.0,CollgCr,New,115000
11045,1920,1423,4,3.0,1.0,Sawyer,WD,127000
11129,1962,1464,5,2.5,2.0,BrkSide,New,128800
23165,2001,1168,3,1.0,1.0,NWAmes,WD,155200
7086,1990,691,2,2.0,0.0,Gilbert,COD,138600
11476,2001,1276,2,1.0,1.0,Sawyer,WD,134700
11572,1979,1644,7,1.0,2.0,BrkSide,New,201400
8717,2008,1555,4,1.5,1.0,Gilbert,WD,171500
14359,1930,1980,3,2.5,1.0,Somerst,WD,137400
14583,1905,2282,3,2.5,1.0,CollgCr,COD,163900
11658,1914,1804,6,2.5,2.0,Somerst,WD,151100
8710,2023,2053,7,1.0,1.0,OldTown,WD,198300
8277,1979,1807,6,1.0,0.0,Gilbert,New,174300
4995,1930,2184,4,2.0,3.0,Somerst,WD,244900
6615,2005,2240,4,3.0,3.0,Gilbert,New,204900
7252,1938,1880,7,2.5,1.0,OldTown,WD,159900
5642,1974,1783,6,2.5,1.0,Somerst,COD,157100
12332,1930,1418,3,1.0,1.0,Somerst,WD,116400
18003,1911,1483,7,,2.0,OldTown,WD,153600
6285,1933,1365,6,3.0,1.0,Sawyer,New,139800
11404,1928,1749,6,2.0,3.0,Gilbert,WD,147100
5901,1968,1212,1,1.5,2.0,Sawyer,WD,154200
8498,1902,1424,1,2.5,2.0,Sawyer,WD,121600
7008,1929,558,3,2.5,0.0,OldTown,WD,82400
13372,1970,2189,6,3.0,3.0,BrkSide,New,245600
7049,1948,1412,1,1.0,2.0,OldTown,WD,168100
16413,1978,1682,1,2.0,2.0,BrkSide,New,186300
8753,1981,2083,1,2.5,0.0,Gilbert,New,171100
7152,2019,1620,2,1.5,2.0,Sawyer,WD,192900
5289,2003,2078,7,3.0,2.0,NWAmes,WD,223300
11233,1928,1003,6,1.0,3.0,CollgCr,WD,151600
15485,1985,2459,6,1.0,2.0,CollgCr,WD,225600
11346,1977,1935,3,2.5,2.0,OldTown,WD,200700
30316,1973,1584,5,1.0,2.0,Sawyer,WD,149500
20229,1999,2070,6,2.0,2.0,NWAmes,New,195700
8487,1918,1033,4,1.5,3.0,CollgCr,WD,155200
8442,1946,1385,6,2.5,,OldTown,WD,173600
12517,2001,2078,4,1.0,1.0,OldTown,WD,201300
6509,2010,753,3,1.5,0.0,CollgCr,New,146800
17732,1904,1724,5,3.0,2.0,Sawyer,WD,173000
11859,1958,1713,7,1.5,3.0,BrkSide,WD,185800
11251,1932,2288,6,2.0,0.0,Gilbert,COD,153800
13953,1920,867,4,3.0,1.0,BrkSide,WD,137300
23422,1907,2144,5,2.5,3.0,Somerst,WD,214200
10780,1966,1276,7,2.5,2.0,Somerst,WD,192700
9353,1982,1321,6,3.0,1.0,Gilbert,WD,195400
21044,1965,1011,4,2.5,1.0,OldTown,New,104200
16055,1945,1065,2,3.0,2.0,BrkSide,WD,113200
8430,1995,1661,7,2.0,1.0,Sawyer,New,117400
9923,1980,1055,7,3.0,2.0,OldTown,WD,167200
10913,2012,1796,1,2.5,2.0,CollgCr,New,212300
11860,1943,1235,1,1.5,2.0,Gilbert,COD,149600
5023,1929,1015,1,2.0,2.0,Sawyer,New,106800
4577,1956,1289,3,1.5,0.0,CollgCr,WD,128700
6351,1962,1635,2,1.5,1.0,Sawyer,WD,167000
6110,1956,1389,7,1.5,1.0,NWAmes,COD,163600
7173,2003,1514,7,2.0,0.0,Gilbert,WD,162400
13594,1905,1778,2,1.5,2.0,Somerst,WD,179400
9096,1965,1933,6,2.5,1.0,NWAmes,COD,178100
10918,1953,1376,1,1.5,2.0,Somerst,New,182000
5366,1926,1082,6,2.0,1.0,CollgCr,WD,134700
7857,1979,1530,3,1.0,1.0,CollgCr,New,138900
13275,1999,1688,1,1.5,1.0,CollgCr,WD,205100
13326,1967,916,3,1.5,2.0,Sawyer,New,161800
6889,1910,1144,6,3.0,2.0,Somerst,COD,142000
10730,1909,1212,7,2.0,2.0,Somerst,WD,141800
29715,1952,1417,1,1.0,1.0,Sawyer,WD,181500
9810,1982,1196,6,1.5,2.0,BrkSide,New,124500
6998,1938,1783,3,2.5,2.0,CollgCr,WD,201100
9074,1938,858,4,1.0,1.0,Somerst,WD,103900
10364,2006,868,1,,0.0,Somerst,WD,144200
9177,1901,1366,7,1.5,1.0,Sawyer,WD,132600
9743,1909,1430,6,1.5,0.0,Gilbert,WD,99300
4809,1919,918,5,2.0,3.0,NWAmes,New,125100
6116,2021,1257,6,1.0,1.0,CollgCr,WD,180700
9185,1961,1340,7,2.5,2.0,Somerst,WD,154600
9112,1919,1343,2,1.5,2.0,OldTown,WD,133900
7457,1938,1561,2,2.5,1.0,Gilbert,WD,139500
9059,2020,1235,1,2.0,2.0,BrkSide,WD,183600
10204,1986,2091,4,,0.0,Sawyer,New,218600
15440,1927,1695,4,2.0,2.0,Somerst,COD,125300
9418,1929,1177,1,1.0,0.0,NWAmes,WD,172200
12083,1909,1538,5,2.5,1.0,BrkSide,ConLD,146200
7549,1995,1550,1,1.5,1.0,Somerst,WD,180200
13175,1917,1986,6,1.5,2.0,Sawyer,WD,172400
11943,1935,1260,5,1.0,2.0,Gilbert,New,146500
15259,1943,1807,6,1.5,2.0,NWAmes,WD,182900
14140,1976,1517,1,1.5,0.0,Gilbert,COD,128100
13285,1975,2097,7,1.5,3.0,CollgCr,WD,200500
9422,1999,2016,4,3.0,0.0,Somerst,New,207100
11187,1936,1579,7,1.5,2.0,Somerst,WD,133400
16844,1947,1395,5,1.0,2.0,Sawyer,WD,166400
7144,1948,1703,5,2.0,2.0,Gilbert,WD,167500
7229,1905,1428,1,1.5,2.0,Somerst,COD,127600
10837,1991,2172,5,2.0,2.0,Sawyer,WD,253000
12181,1966,1531,4,2.5,2.0,NWAmes,WD,151700
6555,1958,1338,6,1.0,1.0,BrkSide,WD,123200
